feature1,feature2,target
6.888437030500963,-9.190312436384449,-1.9013172509917133
9.355999898403429,0,0.09373711634780513
0,2.3673799335066334,0
0,7.976765759359871,0
-2.924173409615185,0,9.332127355415174
-1.1461328170731768,0,-8.134562712951798
0,2.237941696282901,-5.121782462257361
0,0,0
6.0635893855974,-8.175680923395483,7.501745746722911
-7.818843081377926,4.1312281973377925,0
9.276770919476018,-1.100219474489677,0
0,0,2.2554635973721346
0,0,0
6.849204462803648,6.757304624510315,0
6.989719303727341,1.593900214912118,-0.14689227040926056
0,-0.27111596061666354,0
-9.675819466786205,0,0
0,0,0
0,0,0
-2.1758118135434623,0,0
